"filename", "language", "Python", "JavaScript", "Markdown", "JSON", "Jupyter (JSON)", "Vue", "XML", "HTML", "SQL", "Excel", "Ini", "comment", "blank", "total"
"d:\graduation_project\README.md", "Markdown", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 80
"d:\graduation_project\Report_company_patent.json", "JSON", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49
"d:\graduation_project\back_end\app.py", "Python", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 38, 197
"d:\graduation_project\back_end\系统搭建.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\graduation_project\databaseScript\company_patent_table\copytable.py", "Python", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 21, 111
"d:\graduation_project\databaseScript\company_patent_table\sql_config.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\graduation_project\databaseScript\company_patent_table\table_move.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25, 106
"d:\graduation_project\databaseScript\company_patent_table\test.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 7, 71
"d:\graduation_project\databaseScript\inventor_table\create_inventor.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 13, 4, 34
"d:\graduation_project\databaseScript\inventor_table\disambugation.py", "Python", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 17, 117
"d:\graduation_project\databaseScript\inventor_table\inventor_table_create.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 35
"d:\graduation_project\databaseScript\inventor_table\inventor_table_data_process.py", "Python", 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 38, 328
"d:\graduation_project\databaseScript\inventor_table\sql_functions.py", "Python", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 27, 227
"d:\graduation_project\databaseScript\ipc_inventors.py\ipc_inventors_create.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 27
"d:\graduation_project\databaseScript\ipc_inventors.py\ipc_inventors_create.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
